country_code,year,tourist_arrivals,co2_pc,life_exp,broadband_p100,mobile_p100,hosp_beds_p1000,tour_receipts_pctexp,pm25,renew_energy_pct,rnd_pct_gdp,population,gdp_pc,urban_pct,region,income_group,country_name
LSO,1995,209000.0,0.97017246342171,56.368,,0.0,,15.7419777174718,30.8487521566228,50.8,,1951437,513.413448796175,16.4690150432199,Sub-Saharan Africa,Lower middle income,Lesotho
LTU,1995,2600000.0,4.46514674980202,69.0063414634147,,0.394820974,11.0900001526,3.19617712148215,29.925098251862,10.3,,3629102,2182.69156931505,67.3469740189134,Europe & Central Asia,High income,Lithuania
LUX,1995,768000.0,20.3530278372591,76.5121951219512,,6.583831123,7.0999999046,,19.0110573947663,4.0,,408625,51032.349635318,82.1888653313266,Europe & Central Asia,High income,Luxembourg
LVA,1995,1633000.0,3.79972322555307,66.3912195121951,,0.583740022,11.1899995804,1.77235065909889,33.9638536439489,32.4,,2485056,2256.77360387054,69.1924440610299,Europe & Central Asia,High income,Latvia
MAC,1995,7752000.0,3.19459871501688,76.7585365853659,,9.046215595,,,,0.6,,409300,17215.1178522275,99.9100036621094,East Asia & Pacific,High income,"Macao SAR, China"
MAF,1995,,,75.714,,,,,,,,29470,,100.0,Latin America & Caribbean,High income,St. Martin (French part)
MAR,1995,2752000.0,1.12182828202543,64.725,,0.109323282,,19.415634578381,15.3949493869202,17.7,,26399429,1466.78820800781,51.7589098974736,Middle East & North Africa,Lower middle income,Morocco
MCO,1995,233000.0,,80.902,,9.545136904,19.5699996948,,11.9813809171154,,,31609,99032.2375054091,100.0,Europe & Central Asia,High income,Monaco
MDA,1995,32000.0,3.04527415451937,66.218,,0.000313815,12.2100000381,8.03594671375052,32.245933109915,2.8,,2953200,593.593177049161,45.7191925048828,Europe & Central Asia,Upper middle income,Moldova
MDG,1995,115000.0,0.0938832984549624,54.845,,0.009373329,,14.1514416210504,9.82268004277312,86.1,,14051275,273.149653945976,23.4800566044183,Sub-Saharan Africa,Low income,Madagascar
MDV,1995,315000.0,0.981399705606851,66.962,,0.0,,,26.507316879725,3.3,,256649,1554.60942754604,25.5476431837694,South Asia,Upper middle income,Maldives
